Date,Ticker,drawdown_90d,fgi
2022-06-02,BTC,-0.3580109961462893,13.0
2022-06-03,BTC,-0.37387297933163,10.0
2022-06-04,BTC,-0.370419185914139,14.0
2022-06-05,BTC,-0.3692561157631107,10.0
2022-06-06,BTC,-0.3386058336917201,13.0
2022-06-07,BTC,-0.34382921399478866,15.0
2022-06-08,BTC,-0.3632360629748624,17.0
2022-06-09,BTC,-0.3652354389604257,11.0
2022-06-10,BTC,-0.3866975300833987,13.0
2022-06-11,BTC,-0.400762731159402,12.0
2022-06-12,BTC,-0.43976721731724394,14.0
2022-06-13,BTC,-0.5259301188157218,11.0
2022-06-14,BTC,-0.5333297494666364,8.0
2022-06-15,BTC,-0.5238997529240136,7.0
2022-06-16,BTC,-0.569908379501969,7.0
2022-06-17,BTC,-0.5684853736075623,9.0
2022-06-18,BTC,-0.6000659853103628,6.0
2022-06-19,BTC,-0.5662678033848567,6.0
2022-06-20,BTC,-0.5662701223574254,9.0
2022-06-21,BTC,-0.5631156872169799,9.0
2022-06-22,BTC,-0.5786218135208749,11.0
2022-06-23,BTC,-0.5549653419008829,11.0
2022-06-24,BTC,-0.5522761769839865,11.0
2022-06-25,BTC,-0.5469319992916594,14.0
2022-06-26,BTC,-0.556484479749045,14.0
2022-06-27,BTC,-0.5593064415965074,12.0
2022-06-28,BTC,-0.5645970814832212,10.0
2022-06-29,BTC,-0.5679950691823684,13.0
2022-06-30,BTC,-0.5718765208882428,11.0
2022-07-01,BTC,-0.5860972754484655,11.0
2022-07-02,BTC,-0.5866767023375227,14.0
2022-07-03,BTC,-0.5754534035349156,11.0
2022-07-04,BTC,-0.5341906478173492,14.0
2022-07-05,BTC,-0.5355919859479483,19.0
2022-07-06,BTC,-0.5190034983885707,18.0
2022-07-07,BTC,-0.49419948603603364,18.0
2022-07-08,BTC,-0.4877765878338712,20.0
2022-07-09,BTC,-0.47962942343777937,24.0
2022-07-10,BTC,-0.49720725189055165,24.0
2022-07-11,BTC,-0.5188700890122184,22.0
2022-07-12,BTC,-0.534170434755784,16.0
2022-07-13,BTC,-0.5123326291212195,15.0
2022-07-14,BTC,-0.5038018296018767,18.0
2022-07-15,BTC,-0.49798882611552064,15.0
2022-07-16,BTC,-0.4891787035845409,21.0
2022-07-17,BTC,-0.49875714515011865,24.0
2022-07-18,BTC,-0.45760247244862506,20.0
2022-07-19,BTC,-0.4220203996985179,30.0
2022-07-20,BTC,-0.4255366832500208,31.0
2022-07-21,BTC,-0.4272956962436131,34.0
2022-07-22,BTC,-0.43885655002909013,33.0
2022-07-23,BTC,-0.4446389558423671,31.0
2022-07-24,BTC,-0.4318443905916325,30.0
2022-07-25,BTC,-0.4637697533117927,30.0
2022-07-26,BTC,-0.4651846267695669,26.0
2022-07-27,BTC,-0.4217069790879315,28.0
2022-07-28,BTC,-0.3992711010330058,32.0
2022-07-29,BTC,-0.4010141093474427,39.0
2022-07-30,BTC,-0.4042955404383976,42.0
2022-07-31,BTC,-0.41311866969009825,39.0
2022-08-01,BTC,-0.4137563618039809,33.0
2022-08-02,BTC,-0.37111019980045395,31.0
2022-08-03,BTC,-0.3663987413703147,34.0
2022-08-04,BTC,-0.36223693977203114,30.0
2022-08-05,BTC,-0.3151141064209834,31.0
2022-08-06,BTC,-0.2781931031186402,31.0
2022-08-07,BTC,-0.2712694301821576,30.0
2022-08-08,BTC,-0.2512823479986818,30.0
2022-08-09,BTC,-0.2720379585070174,42.0
2022-08-10,BTC,-0.24675262192683012,31.0
2022-08-11,BTC,-0.24737084070206514,41.0
2022-08-12,BTC,-0.23261377615323273,42.0
2022-08-13,BTC,-0.23142828033297022,46.0
2022-08-14,BTC,-0.23570927240115414,47.0
2022-08-15,BTC,-0.24232603713589243,45.0
2022-08-16,BTC,-0.2498754757706037,44.0
2022-08-17,BTC,-0.26597809379819026,41.0
2022-08-18,BTC,-0.2707408311174729,30.0
2022-08-19,BTC,-0.3448519293708634,33.0
2022-08-20,BTC,-0.3352396651178704,29.0
2022-08-21,BTC,-0.3234306173634573,27.0
2022-08-22,BTC,-0.3270713787976745,29.0
2022-08-23,BTC,-0.3230057884899362,28.0
2022-08-24,BTC,-0.3280697738187178,25.0
2022-08-25,BTC,-0.3220649387567199,25.0
2022-08-26,BTC,-0.36350980974207137,27.0
2022-08-27,BTC,-0.3699073992548672,28.0
2022-08-28,BTC,-0.38506382181211685,28.0
2022-08-29,BTC,-0.35340371209730626,24.0
2022-08-30,BTC,-0.3685144279653588,27.0
2022-08-31,BTC,-0.3609168363980607,23.0
2022-09-01,BTC,-0.35832098198775386,20.0
2022-09-02,BTC,-0.36404563144859764,25.0
2022-09-03,BTC,-0.3678692892956067,21.0
2022-09-04,BTC,-0.3574268931445868,20.0
2022-09-05,BTC,-0.34457901847953154,23.0
2022-09-06,BTC,-0.37593312239516996,22.0
2022-09-07,BTC,-0.33683075827344267,24.0
2022-09-08,BTC,-0.32031754073042107,20.0
2022-09-09,BTC,-0.19621871017097944,22.0
2022-09-10,BTC,-0.11427505320894323,28.0
2022-09-11,BTC,-0.1069706375008286,26.0
2022-09-12,BTC,-0.08369576513273798,25.0
2022-09-13,BTC,-0.17461411753346173,34.0
2022-09-14,BTC,-0.1724399358792344,27.0
2022-09-15,BTC,-0.19391294599568437,28.0
2022-09-16,BTC,-0.18976342579674313,20.0
2022-09-17,BTC,-0.17706692502632837,22.0
2022-09-18,BTC,-0.20560213866811122,27.0
2022-09-19,BTC,-0.2006580643155174,21.0
2022-09-20,BTC,-0.22774409628261583,23.0
2022-09-21,BTC,-0.2446678542700944,23.0
2022-09-22,BTC,-0.20619744057004963,22.0
2022-09-23,BTC,-0.2107683772356553,20.0
2022-09-24,BTC,-0.2258824992696812,24.0
2022-09-25,BTC,-0.2305107158433771,24.0
2022-09-26,BTC,-0.21330874115945994,21.0
2022-09-27,BTC,-0.21939227654084997,20.0
2022-09-28,BTC,-0.20573961044752798,20.0
2022-09-29,BTC,-0.19842864846420302,22.0
2022-09-30,BTC,-0.2053390602330965,21.0
2022-10-01,BTC,-0.20990754204549825,20.0
2022-10-02,BTC,-0.22030589107489026,24.0
2022-10-03,BTC,-0.19689150121637972,24.0
2022-10-04,BTC,-0.16789395688786807,20.0
2022-10-05,BTC,-0.17524051424264925,25.0
2022-10-06,BTC,-0.18332475498519324,26.0
2022-10-07,BTC,-0.20094159986056437,23.0
2022-10-08,BTC,-0.2055293113563965,24.0
2022-10-09,BTC,-0.2046676578818381,22.0
2022-10-10,BTC,-0.21723446057464849,22.0
2022-10-11,BTC,-0.22017496557068386,24.0
2022-10-12,BTC,-0.2162664301279225,20.0
2022-10-13,BTC,-0.20728166740175882,20.0
2022-10-14,BTC,-0.2153908658185422,24.0
2022-10-15,BTC,-0.21979078104427824,24.0
2022-10-16,BTC,-0.21187019718199224,24.0
2022-10-17,BTC,-0.20013272572988924,20.0
2022-10-18,BTC,-0.20923286655663478,22.0
2022-10-19,BTC,-0.2175576829131579,23.0
2022-10-20,BTC,-0.22091469466945002,23.0
2022-10-21,BTC,-0.2159047484225523,23.0
2022-10-22,BTC,-0.21426899790437373,20.0
2022-10-23,BTC,-0.19929234764976442,23.0
2022-10-24,BTC,-0.20913958213488762,22.0
2022-10-25,BTC,-0.17843959710949223,20.0
2022-10-26,BTC,-0.15014659565049113,33.0
2022-10-27,BTC,-0.16964140322682272,32.0
2022-10-28,BTC,-0.1575009267070845,30.0
2022-10-29,BTC,-0.14858858215043516,34.0
2022-10-30,BTC,-0.15604274390398584,34.0
2022-10-31,BTC,-0.16163735435560508,31.0
2022-11-01,BTC,-0.1619286636024644,30.0
2022-11-02,BTC,-0.17550318353546324,30.0
2022-11-03,BTC,-0.1732128054962527,30.0
2022-11-04,BTC,-0.1347247986815802,30.0
2022-11-05,BTC,-0.12855288858485084,38.0
2022-11-06,BTC,-0.1446644993040491,40.0
2022-11-07,BTC,-0.15752997580333025,33.0
2022-11-08,BTC,-0.24115455019315607,31.0
2022-11-09,BTC,-0.3485306476148238,29.0
2022-11-10,BTC,-0.2798626755117755,22.0
2022-11-11,BTC,-0.29766955602989315,25.0
2022-11-12,BTC,-0.3022533473999805,21.0
2022-11-13,BTC,-0.31544632219843943,22.0
2022-11-14,BTC,-0.28802201634261054,24.0
2022-11-15,BTC,-0.27125073303666913,22.0
2022-11-16,BTC,-0.25598529005962756,23.0
2022-11-17,BTC,-0.254654679863224,20.0
